run_id,workload,block_id,sequence_index,timestamp,timestamp_ns,checkpoint,variant,raw_elapsed_ns,operations_per_run,ns_per_operation,result,cpu_affinity,control_candidate_role
p7-p9-v2-6ae9e1f,P8,block-010,72,2026-08-22T16:24:08.456650+00:00,1787415848456675510,H4,O1,3814851,512,7450.880859375,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-010,73,2026-08-22T16:24:08.460219+00:00,1787415848460304544,H5,O0,3485276,512,6807.1796875,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-010,74,2026-08-22T16:24:08.464776+00:00,1787415848464802539,H5,O1,4414246,512,8621.57421875,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-010,75,2026-08-22T16:24:08.469495+00:00,1787415848469521356,C,O0,4634948,512,9052.6328125,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-010,76,2026-08-22T16:24:08.474742+00:00,1787415848474769855,C,O2,5162440,512,10082.890625,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-010,77,2026-08-22T16:24:08.481295+00:00,1787415848481325103,C,O3,6444420,512,12586.7578125,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-011,78,2026-08-22T16:24:08.484899+00:00,1787415848484927227,H4,O1,3499276,512,6834.5234375,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-011,79,2026-08-22T16:24:08.489253+00:00,1787415848489279049,H5,O0,4264313,512,8328.736328125,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-011,80,2026-08-22T16:24:08.492297+00:00,1787415848492323327,H5,O1,2965369,512,5791.736328125,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-011,81,2026-08-22T16:24:08.497515+00:00,1787415848497541731,C,O0,5122295,512,10004.482421875,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-011,82,2026-08-22T16:24:08.501924+00:00,1787415848501953102,C,O2,4321952,512,8441.3125,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-011,83,2026-08-22T16:24:08.507347+00:00,1787415848507378473,C,O3,5225704,512,10206.453125,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-011,84,2026-08-22T16:24:08.511140+00:00,1787415848511164090,H4,O0,3706247,512,7238.763671875,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-012,85,2026-08-22T16:24:08.515199+00:00,1787415848515227727,H5,O0,3967579,512,7749.177734375,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-012,86,2026-08-22T16:24:08.519255+00:00,1787415848519278964,H5,O1,3973329,512,7760.408203125,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-012,87,2026-08-22T16:24:08.523989+00:00,1787415848524016045,C,O0,4649623,512,9081.294921875,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-012,88,2026-08-22T16:24:08.530056+00:00,1787415848530104516,C,O2,5934703,512,11591.216796875,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-012,89,2026-08-22T16:24:08.535445+00:00,1787415848535471542,C,O3,5282188,512,10316.7734375,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-012,90,2026-08-22T16:24:08.538802+00:00,1787415848538827365,H4,O0,3274684,512,6395.8671875,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-012,91,2026-08-22T16:24:08.542519+00:00,1787415848542548462,H4,O1,3626898,512,7083.78515625,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-013,92,2026-08-22T16:24:08.546069+00:00,1787415848546092857,H5,O1,3454837,512,6747.728515625,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-013,93,2026-08-22T16:24:08.550469+00:00,1787415848550492859,C,O0,4325143,512,8447.544921875,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-013,94,2026-08-22T16:24:08.554539+00:00,1787415848554565176,C,O2,3991258,512,7795.42578125,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-013,95,2026-08-22T16:24:08.559079+00:00,1787415848559106435,C,O3,4454520,512,8700.234375,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-013,96,2026-08-22T16:24:08.563021+00:00,1787415848563043169,H4,O0,3853975,512,7527.294921875,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-013,97,2026-08-22T16:24:08.566120+00:00,1787415848566146095,H4,O1,3014188,512,5887.0859375,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-013,98,2026-08-22T16:24:08.569249+00:00,1787415848569274832,H5,O0,3046718,512,5950.62109375,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-014,99,2026-08-22T16:24:08.574164+00:00,1787415848574190601,C,O0,4823921,512,9421.720703125,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-014,100,2026-08-22T16:24:08.578473+00:00,1787415848578499439,C,O2,4222341,512,8246.759765625,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-014,101,2026-08-22T16:24:08.583499+00:00,1787415848583527066,C,O3,4930418,512,9629.72265625,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-014,102,2026-08-22T16:24:08.586427+00:00,1787415848586455040,H4,O0,2841455,512,5549.716796875,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-014,103,2026-08-22T16:24:08.590207+00:00,1787415848590233207,H4,O1,3577570,512,6987.44140625,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-014,104,2026-08-22T16:24:08.593473+00:00,1787415848593501431,H5,O0,3180765,512,6212.431640625,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-014,105,2026-08-22T16:24:08.597219+00:00,1787415848597246743,H5,O1,3659343,512,7147.154296875,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-015,106,2026-08-22T16:24:08.602656+00:00,1787415848602682764,C,O2,5344193,512,10437.876953125,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-015,107,2026-08-22T16:24:08.606866+00:00,1787415848607230978,C,O3,4121021,512,8048.869140625,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-015,108,2026-08-22T16:24:08.610363+00:00,1787415848610392949,H4,O0,3056362,512,5969.45703125,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-015,109,2026-08-22T16:24:08.614964+00:00,1787415848614995647,H4,O1,4505510,512,8799.82421875,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-015,110,2026-08-22T16:24:08.620120+00:00,1787415848620147727,H5,O0,5061101,512,9884.962890625,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-015,111,2026-08-22T16:24:08.623647+00:00,1787415848623681942,H5,O1,3427606,512,6694.54296875,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-015,112,2026-08-22T16:24:08.629093+00:00,1787415848629129617,C,O0,5323137,512,10396.751953125,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-016,113,2026-08-22T16:24:08.634412+00:00,1787415848634438125,C,O3,5204429,512,10164.900390625,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-016,114,2026-08-22T16:24:08.638085+00:00,1787415848638113668,H4,O0,3585294,512,7002.52734375,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-016,115,2026-08-22T16:24:08.641958+00:00,1787415848641986008,H4,O1,3688262,512,7203.63671875,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-016,116,2026-08-22T16:24:08.645890+00:00,1787415848645916697,H5,O0,3839431,512,7498.888671875,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-016,117,2026-08-22T16:24:08.649831+00:00,1787415848649855735,H5,O1,3857259,512,7533.708984375,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-016,118,2026-08-22T16:24:08.654327+00:00,1787415848654358755,C,O0,4411281,512,8615.783203125,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-016,119,2026-08-22T16:24:08.659019+00:00,1787415848659045623,C,O2,4599509,512,8983.416015625,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-017,120,2026-08-22T16:24:08.662238+00:00,1787415848662264102,H4,O0,3127062,512,6107.54296875,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-017,121,2026-08-22T16:24:08.665705+00:00,1787415848665731789,H4,O1,3384608,512,6610.5625,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-017,122,2026-08-22T16:24:08.669165+00:00,1787415848669329693,H5,O0,3372727,512,6587.357421875,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-017,123,2026-08-22T16:24:08.673398+00:00,1787415848673425444,H5,O1,4001493,512,7815.416015625,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-017,124,2026-08-22T16:24:08.677765+00:00,1787415848677792247,C,O0,4279654,512,8358.69921875,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-017,125,2026-08-22T16:24:08.682118+00:00,1787415848682145764,C,O2,4265279,512,8330.623046875,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-017,126,2026-08-22T16:24:08.687093+00:00,1787415848687119887,C,O3,4878044,512,9527.4296875,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-018,127,2026-08-22T16:24:08.690698+00:00,1787415848690729070,H4,O1,3366098,512,6574.41015625,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-018,128,2026-08-22T16:24:08.693888+00:00,1787415848693912971,H5,O0,3102652,512,6059.8671875,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-018,129,2026-08-22T16:24:08.697677+00:00,1787415848697702063,H5,O1,3707883,512,7241.958984375,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-018,130,2026-08-22T16:24:08.701982+00:00,1787415848702013636,C,O0,4221144,512,8244.421875,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-018,131,2026-08-22T16:24:08.707307+00:00,1787415848707336003,C,O2,5224279,512,10203.669921875,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-018,132,2026-08-22T16:24:08.713395+00:00,1787415848713420844,C,O3,5998393,512,11715.611328125,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-018,133,2026-08-22T16:24:08.718853+00:00,1787415848718879649,H4,O0,5364556,512,10477.6484375,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-019,134,2026-08-22T16:24:08.724657+00:00,1787415848724686813,H5,O0,5704387,512,11141.380859375,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-019,135,2026-08-22T16:24:08.727840+00:00,1787415848727869014,H5,O1,3088932,512,6033.0703125,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-019,136,2026-08-22T16:24:08.731986+00:00,1787415848732016649,C,O0,4055487,512,7920.873046875,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-019,137,2026-08-22T16:24:08.735683+00:00,1787415848735708521,C,O2,3604654,512,7040.33984375,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-019,138,2026-08-22T16:24:08.739542+00:00,1787415848739571372,C,O3,3763342,512,7350.27734375,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-019,139,2026-08-22T16:24:08.742217+00:00,1787415848742240146,H4,O0,2590836,512,5060.2265625,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-019,140,2026-08-22T16:24:08.746445+00:00,1787415848746467727,H4,O1,4149752,512,8104.984375,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-020,141,2026-08-22T16:24:08.751298+00:00,1787415848751329647,H5,O1,4762641,512,9302.033203125,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-020,142,2026-08-22T16:24:08.757477+00:00,1787415848757507045,C,O0,6088420,512,11891.4453125,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-020,143,2026-08-22T16:24:08.762249+00:00,1787415848762275356,C,O2,4685092,512,9150.5703125,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-020,144,2026-08-22T16:24:08.766574+00:00,1787415848766707557,C,O3,4240874,512,8282.95703125,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-020,145,2026-08-22T16:24:08.770630+00:00,1787415848770656790,H4,O0,3864154,512,7547.17578125,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-020,146,2026-08-22T16:24:08.773968+00:00,1787415848773994018,H4,O1,3255749,512,6358.884765625,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-020,147,2026-08-22T16:24:08.777329+00:00,1787415848777351866,H5,O0,3276689,512,6399.783203125,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-021,148,2026-08-22T16:24:08.783690+00:00,1787415848783718757,C,O0,6151834,512,12015.30078125,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-021,149,2026-08-22T16:24:08.788451+00:00,1787415848788473223,C,O2,4679167,512,9138.998046875,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-021,150,2026-08-22T16:24:08.792153+00:00,1787415848792175195,C,O3,3631784,512,7093.328125,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-021,151,2026-08-22T16:24:08.795422+00:00,1787415848795444874,H4,O0,3191960,512,6234.296875,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-021,152,2026-08-22T16:24:08.798475+00:00,1787415848798498107,H4,O1,2976544,512,5813.5625,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-021,153,2026-08-22T16:24:08.801289+00:00,1787415848801312883,H5,O0,2739397,512,5350.384765625,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-021,154,2026-08-22T16:24:08.804476+00:00,1787415848804498694,H5,O1,3112002,512,6078.12890625,7560,taskset -c 0,candidate
p7-p9-v2-6ae9e1f,P8,block-022,155,2026-08-22T16:24:08.808887+00:00,1787415848808912405,C,O2,4326122,512,8449.45703125,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-022,156,2026-08-22T16:24:08.813044+00:00,1787415848813067151,C,O3,4079817,512,7968.392578125,7560,taskset -c 0,control
p7-p9-v2-6ae9e1f,P8,block-022,157,2026-08-22T16:24:08.816896+00:00,1787415848816919881,H4,O0,3772501,512,7368.166015625,7560,taskset -c 0,candidate
