run_id,block_id,sequence_index,measurement_index,timestamp,timestamp_ns,checkpoint,variant,fixture,raw_elapsed_ns,parses,ns_per_parse,cpu_affinity,control_candidate_role
p1-v2-primary-3716b0b-retry,block-002,108,5,2026-08-22T16:21:35.061838+00:00,1787415695061855988,H4,O1,tiny_03_pair,69695898,10000,6969.5898,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-003,109,6,2026-08-22T16:21:35.139425+00:00,1787415695139443319,H5,O1,tiny_03_pair,77524692,10000,7752.4692,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-003,110,6,2026-08-22T16:21:35.209794+00:00,1787415695209812310,H4,O1,tiny_03_pair,70309392,10000,7030.9392,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-003,111,6,2026-08-22T16:21:35.211161+00:00,1787415695211175589,C,O2,tiny_03_pair,1313910,10000,131.391,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-003,112,7,2026-08-22T16:21:35.212465+00:00,1787415695212482639,C,O2,tiny_03_pair,1249430,10000,124.943,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-003,113,7,2026-08-22T16:21:35.286383+00:00,1787415695286402811,H4,O1,tiny_03_pair,73800504,10000,7380.0504,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-003,114,7,2026-08-22T16:21:35.360277+00:00,1787415695360295073,H5,O1,tiny_03_pair,73833593,10000,7383.3593,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-004,115,8,2026-08-22T16:21:35.431257+00:00,1787415695431275851,H4,O1,tiny_03_pair,70919269,10000,7091.9269,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-004,116,8,2026-08-22T16:21:35.432737+00:00,1787415695432751069,C,O2,tiny_03_pair,1424928,10000,142.4928,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-004,117,9,2026-08-22T16:21:35.433971+00:00,1787415695433984359,C,O2,tiny_03_pair,1187172,10000,118.7172,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-004,118,9,2026-08-22T16:21:35.505071+00:00,1787415695505090045,H4,O1,tiny_03_pair,71044157,10000,7104.4157,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-004,119,8,2026-08-22T16:21:35.575841+00:00,1787415695575862287,H5,O1,tiny_03_pair,70712502,10000,7071.2502,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-004,120,9,2026-08-22T16:21:35.645784+00:00,1787415695645802070,H5,O1,tiny_03_pair,69884555,10000,6988.4555,taskset -c 0,candidate
p1-v2-primary-3716b0b-retry,block-005,121,10,2026-08-22T16:21:35.647250+00:00,1787415695647265637,C,O2,tiny_03_pair,1400548,10000,140.0548,taskset -c 0,control
p1-v2-primary-3716b0b-retry,block-005,122,11,2026-08-22T16:21:35.648503+00:00,1787415695648514478,C,O2,tiny_03_pair,1204151,10000,120.4151,taskset -c 0,control
