run_id,block_id,sequence_index,measurement_index,timestamp,timestamp_ns,checkpoint,variant,fixture,raw_elapsed_ns,parses,ns_per_parse,cpu_affinity,control_candidate_role
p1-v2-primary-3716b0b,block-011,72,23,2026-08-22T16:18:43.778358+00:00,1787415523778374023,H4,O1,tiny_04_arr,105983393,10000,10598.3393,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-012,73,24,2026-08-22T16:18:43.780912+00:00,1787415523780936647,C,O2,tiny_04_arr,2490296,10000,249.0296,taskset -c 0,control
p1-v2-primary-3716b0b,block-012,74,24,2026-08-22T16:18:43.888155+00:00,1787415523888189325,H4,O1,tiny_04_arr,107173689,10000,10717.3689,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-012,75,24,2026-08-22T16:18:43.998887+00:00,1787415523998905859,H5,O1,tiny_04_arr,110653276,10000,11065.3276,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-012,76,25,2026-08-22T16:18:44.100801+00:00,1787415524100819454,H5,O1,tiny_04_arr,101854716,10000,10185.4716,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-012,77,25,2026-08-22T16:18:44.206396+00:00,1787415524206416235,H4,O1,tiny_04_arr,105531712,10000,10553.1712,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-012,78,25,2026-08-22T16:18:44.208709+00:00,1787415524208727370,C,O2,tiny_04_arr,2239826,10000,223.9826,taskset -c 0,control
p1-v2-primary-3716b0b,block-013,79,26,2026-08-22T16:18:44.313171+00:00,1787415524313193795,H4,O1,tiny_04_arr,104384875,10000,10438.4875,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-013,80,26,2026-08-22T16:18:44.422266+00:00,1787415524422283350,H5,O1,tiny_04_arr,109033167,10000,10903.3167,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-013,81,27,2026-08-22T16:18:44.530302+00:00,1787415524530325115,H5,O1,tiny_04_arr,107970286,10000,10797.0286,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-013,82,27,2026-08-22T16:18:44.634350+00:00,1787415524634370106,H4,O1,tiny_04_arr,103979262,10000,10397.9262,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-013,83,26,2026-08-22T16:18:44.636522+00:00,1787415524636548688,C,O2,tiny_04_arr,2107883,10000,210.7883,taskset -c 0,control
p1-v2-primary-3716b0b,block-013,84,27,2026-08-22T16:18:44.638428+00:00,1787415524638448099,C,O2,tiny_04_arr,1830352,10000,183.0352,taskset -c 0,control
p1-v2-primary-3716b0b,block-014,85,28,2026-08-22T16:18:44.753460+00:00,1787415524753479163,H5,O1,tiny_04_arr,114964875,10000,11496.4875,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-014,86,29,2026-08-22T16:18:44.858264+00:00,1787415524858284287,H5,O1,tiny_04_arr,104739495,10000,10473.9495,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-014,87,28,2026-08-22T16:18:44.967755+00:00,1787415524967774767,H4,O1,tiny_04_arr,109429281,10000,10942.9281,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-014,88,28,2026-08-22T16:18:44.969998+00:00,1787415524970024243,C,O2,tiny_04_arr,2163587,10000,216.3587,taskset -c 0,control
p1-v2-primary-3716b0b,block-014,89,29,2026-08-22T16:18:44.972515+00:00,1787415524972531963,C,O2,tiny_04_arr,2446621,10000,244.6621,taskset -c 0,control
p1-v2-primary-3716b0b,block-014,90,29,2026-08-22T16:18:45.082202+00:00,1787415525082221108,H4,O1,tiny_04_arr,109626765,10000,10962.6765,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-000,91,0,2026-08-22T16:18:46.672634+00:00,1787415526672648291,C,O2,tiny_03_pair,1446488,10000,144.6488,taskset -c 0,control
p1-v2-primary-3716b0b,block-000,92,0,2026-08-22T16:18:46.748528+00:00,1787415526748545063,H4,O1,tiny_03_pair,75840623,10000,7584.0623,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-000,93,0,2026-08-22T16:18:46.824509+00:00,1787415526824531889,H5,O1,tiny_03_pair,75920427,10000,7592.0427,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-000,94,1,2026-08-22T16:18:46.900101+00:00,1787415526900117048,H5,O1,tiny_03_pair,75529820,10000,7552.982,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-000,95,1,2026-08-22T16:18:46.977376+00:00,1787415526977393642,H4,O1,tiny_03_pair,77221424,10000,7722.1424,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-000,96,1,2026-08-22T16:18:46.978965+00:00,1787415526978984037,C,O2,tiny_03_pair,1529466,10000,152.9466,taskset -c 0,control
p1-v2-primary-3716b0b,block-001,97,2,2026-08-22T16:18:47.060581+00:00,1787415527060605500,H4,O1,tiny_03_pair,81539094,10000,8153.9094,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-001,98,2,2026-08-22T16:18:47.138099+00:00,1787415527138115493,H5,O1,tiny_03_pair,77439484,10000,7743.9484,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-001,99,3,2026-08-22T16:18:47.215185+00:00,1787415527215202450,H5,O1,tiny_03_pair,77030468,10000,7703.0468,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-001,100,3,2026-08-22T16:18:47.291025+00:00,1787415527291046845,H4,O1,tiny_03_pair,75773676,10000,7577.3676,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-001,101,2,2026-08-22T16:18:47.293129+00:00,1787415527293143063,C,O2,tiny_03_pair,2040889,10000,204.0889,taskset -c 0,control
p1-v2-primary-3716b0b,block-001,102,3,2026-08-22T16:18:47.294623+00:00,1787415527294639780,C,O2,tiny_03_pair,1408919,10000,140.8919,taskset -c 0,control
p1-v2-primary-3716b0b,block-002,103,4,2026-08-22T16:18:47.372087+00:00,1787415527372104691,H5,O1,tiny_03_pair,77384222,10000,7738.4222,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-002,104,5,2026-08-22T16:18:47.448458+00:00,1787415527448486629,H5,O1,tiny_03_pair,76204450,10000,7620.445,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-002,105,4,2026-08-22T16:18:47.524884+00:00,1787415527524907855,H4,O1,tiny_03_pair,76338228,10000,7633.8228,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-002,106,4,2026-08-22T16:18:47.526920+00:00,1787415527526946464,C,O2,tiny_03_pair,1961240,10000,196.124,taskset -c 0,control
p1-v2-primary-3716b0b,block-002,107,5,2026-08-22T16:18:47.528645+00:00,1787415527528659008,C,O2,tiny_03_pair,1657944,10000,165.7944,taskset -c 0,control
p1-v2-primary-3716b0b,block-002,108,5,2026-08-22T16:18:47.611304+00:00,1787415527611325439,H4,O1,tiny_03_pair,82594532,10000,8259.4532,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-003,109,6,2026-08-22T16:18:47.689402+00:00,1787415527689420480,H5,O1,tiny_03_pair,78028021,10000,7802.8021,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-003,110,6,2026-08-22T16:18:47.765074+00:00,1787415527765091258,H4,O1,tiny_03_pair,75614439,10000,7561.4439,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-003,111,6,2026-08-22T16:18:47.766535+00:00,1787415527766548326,C,O2,tiny_03_pair,1409198,10000,140.9198,taskset -c 0,control
p1-v2-primary-3716b0b,block-003,112,7,2026-08-22T16:18:47.767802+00:00,1787415527767815656,C,O2,tiny_03_pair,1221341,10000,122.1341,taskset -c 0,control
p1-v2-primary-3716b0b,block-003,113,7,2026-08-22T16:18:47.846390+00:00,1787415527846410760,H4,O1,tiny_03_pair,78526395,10000,7852.6395,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-003,114,7,2026-08-22T16:18:47.922037+00:00,1787415527922054058,H5,O1,tiny_03_pair,75586429,10000,7558.6429,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-004,115,8,2026-08-22T16:18:47.997840+00:00,1787415527997858374,H4,O1,tiny_03_pair,75739986,10000,7573.9986,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-004,116,8,2026-08-22T16:18:47.999375+00:00,1787415527999390021,C,O2,tiny_03_pair,1479017,10000,147.9017,taskset -c 0,control
p1-v2-primary-3716b0b,block-004,117,9,2026-08-22T16:18:48.000656+00:00,1787415528000668311,C,O2,tiny_03_pair,1233812,10000,123.3812,taskset -c 0,control
p1-v2-primary-3716b0b,block-004,118,9,2026-08-22T16:18:48.078605+00:00,1787415528078624624,H4,O1,tiny_03_pair,77847524,10000,7784.7524,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-004,119,8,2026-08-22T16:18:48.155628+00:00,1787415528155648310,H5,O1,tiny_03_pair,76957887,10000,7695.7887,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-004,120,9,2026-08-22T16:18:48.233209+00:00,1787415528233232735,H5,O1,tiny_03_pair,77512836,10000,7751.2836,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-005,121,10,2026-08-22T16:18:48.235154+00:00,1787415528235172315,C,O2,tiny_03_pair,1860302,10000,186.0302,taskset -c 0,control
p1-v2-primary-3716b0b,block-005,122,11,2026-08-22T16:18:48.237310+00:00,1787415528237328653,C,O2,tiny_03_pair,2093309,10000,209.3309,taskset -c 0,control
p1-v2-primary-3716b0b,block-005,123,10,2026-08-22T16:18:48.315506+00:00,1787415528315524878,H4,O1,tiny_03_pair,78134796,10000,7813.4796,taskset -c 0,candidate
p1-v2-primary-3716b0b,block-005,124,10,2026-08-22T16:18:48.393550+00:00,1787415528393588735,H5,O1,tiny_03_pair,77982038,10000,7798.2038,taskset -c 0,candidate
